domain	utterance	semantic_parse
weather	Is there rain in the forecast this week	[IN:GET_WEATHER Is there [SL:WEATHER_ATTRIBUTE rain ] in the forecast [SL:DATE_TIME this week ] ]
weather	what's the weather going to be doing at the weekend?	[IN:GET_WEATHER what 's the weather going to be doing [SL:DATE_TIME at the weekend ] ? ]
weather	Will there be thunder today	[IN:GET_WEATHER Will there be [SL:WEATHER_ATTRIBUTE thunder ] [SL:DATE_TIME today ] ]
weather	Is it beach weather this weekend?	[IN:GET_WEATHER Is it [SL:LOCATION beach ] weather [SL:DATE_TIME this weekend ] ? ]
weather	Is it raining in Dorchester?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE raining ] in [SL:LOCATION Dorchester ] ? ]
weather	Should I wear a coat tonight?	[IN:GET_WEATHER Should I wear a [SL:WEATHER_ATTRIBUTE coat ] [SL:DATE_TIME tonight ] ? ]
weather	How hot will it be this afternoon	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] will it be [SL:DATE_TIME this afternoon ] ]
weather	What's the weather supposed to be like next week?	[IN:GET_WEATHER What 's the weather supposed to be like [SL:DATE_TIME next week ] ? ]
weather	Will the UV index require the application of sunscreen today?	[IN:UNSUPPORTED_WEATHER Will the UV index require the application of sunscreen today ? ]
weather	What's the weather forecast for this weekend	[IN:GET_WEATHER What 's the weather forecast [SL:DATE_TIME for this weekend ] ]
weather	is there hail with this storm	[IN:GET_WEATHER is there [SL:WEATHER_ATTRIBUTE hail ] with this [SL:WEATHER_ATTRIBUTE storm ] ]
weather	Is there a tornado warning	[IN:GET_WEATHER Is there a tornado warning ]
weather	Is it going to snow today?	[IN:GET_WEATHER Is it going to [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME today ] ? ]
weather	What is the temperature in Denver?	[IN:GET_WEATHER What is the temperature in [SL:LOCATION Denver ] ? ]
weather	is it going to snow in ohio this weekend	[IN:GET_WEATHER is it going to [SL:WEATHER_ATTRIBUTE snow ] in [SL:LOCATION ohio ] [SL:DATE_TIME this weekend ] ]
weather	Weather at 3pm in Mexico City	[IN:GET_WEATHER Weather [SL:DATE_TIME at 3 pm ] in [SL:LOCATION Mexico City ] ]
weather	What is the weather in Baltimore today	[IN:GET_WEATHER What is the weather in [SL:LOCATION Baltimore ] [SL:DATE_TIME today ] ]
weather	will it rain in harlingen today	[IN:GET_WEATHER will it [SL:WEATHER_ATTRIBUTE rain ] in [SL:LOCATION harlingen ] [SL:DATE_TIME today ] ]
weather	Tell me the weather conditions for New Zealand	[IN:GET_WEATHER Tell me the weather conditions for [SL:LOCATION New Zealand ] ]
weather	Is it going to frost tonight	[IN:GET_WEATHER Is it going to [SL:WEATHER_ATTRIBUTE frost ] [SL:DATE_TIME tonight ] ]
weather	Are we getting a snowstorm this week?	[IN:GET_WEATHER Are we getting a [SL:WEATHER_ATTRIBUTE snowstorm ] [SL:DATE_TIME this week ] ? ]
weather	What sort of weather will be happening in Thailand during July?	[IN:GET_WEATHER What sort of weather will be happening in [SL:LOCATION Thailand ] [SL:DATE_TIME during July ] ? ]
weather	How hot will it be in Los Angeles, CA today?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] will it be in [SL:LOCATION Los Angeles , CA ] [SL:DATE_TIME today ] ? ]
weather	I'd like to know the weather for the 7th of July.	[IN:GET_WEATHER I'd like to know the weather [SL:DATE_TIME for the 7th of July ] . ]
weather	What was the temperature this day last year	[IN:UNSUPPORTED_WEATHER What was the temperature [SL:DATE_TIME this day last year ] ]
weather	How hot is it in south Africa today?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it in [SL:LOCATION south Africa ] [SL:DATE_TIME today ] ? ]
weather	What's the weather this weekend?	[IN:GET_WEATHER What 's the weather [SL:DATE_TIME this weekend ] ? ]
weather	forecast for 6 am	[IN:GET_WEATHER forecast [SL:DATE_TIME for 6 am ] ]
weather	Is it going to be below 1 degrees c out there today	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 1 ] degrees [SL:WEATHER_TEMPERATURE_UNIT c ] [SL:LOCATION out there ] [SL:DATE_TIME today ] ]
weather	why are storm clouds black	[IN:UNSUPPORTED_WEATHER why are [SL:WEATHER_ATTRIBUTE storm ] [SL:WEATHER_ATTRIBUTE clouds ] black ]
weather	Show me the weather in 13 November at 7am	[IN:GET_WEATHER Show me the weather [SL:DATE_TIME in 13 November at 7 am ] ]
weather	Should I wear a jacket tonight	[IN:GET_WEATHER Should I wear a [SL:WEATHER_ATTRIBUTE jacket ] [SL:DATE_TIME tonight ] ]
weather	how hot is it going to be this weekend?	[IN:GET_WEATHER how [SL:WEATHER_ATTRIBUTE hot ] is it going to be [SL:DATE_TIME this weekend ] ? ]
weather	when will we have snow	[IN:GET_WEATHER when will we have [SL:WEATHER_ATTRIBUTE snow ] ]
weather	What's happening with the weather today?	[IN:GET_WEATHER What 's happening with the weather [SL:DATE_TIME today ] ? ]
weather	What will the weather be like in Cancun Mexico today?	[IN:GET_WEATHER What will the weather be like in [SL:LOCATION Cancun Mexico ] [SL:DATE_TIME today ] ? ]
weather	What time of day will the weather be the coolest?	[IN:GET_WEATHER What time of day will the weather be the [SL:WEATHER_ATTRIBUTE coolest ] ? ]
weather	What is the humidity percentage for today	[IN:GET_WEATHER What is the [SL:WEATHER_ATTRIBUTE humidity ] percentage [SL:DATE_TIME for today ] ]
weather	what is the weather like	[IN:GET_WEATHER what is the weather like ]
weather	Is it going to snow tomorrow morning?	[IN:GET_WEATHER Is it going to [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME tomorrow morning ] ? ]
weather	When is the last time it snowed in Texas	[IN:UNSUPPORTED_WEATHER When is the last time it [SL:WEATHER_ATTRIBUTE snowed ] in [SL:LOCATION Texas ] ]
weather	What was the wind speed of the tornado in Kansas	[IN:GET_WEATHER What was the [SL:WEATHER_ATTRIBUTE wind speed ] of the [SL:WEATHER_ATTRIBUTE tornado ] in [SL:LOCATION Kansas ] ]
weather	What is the low temp supposed to be tonight?	[IN:GET_WEATHER What is the low temp supposed to be [SL:DATE_TIME tonight ] ? ]
weather	how much rain did we get yesterday	[IN:GET_WEATHER how much [SL:WEATHER_ATTRIBUTE rain ] did we get [SL:DATE_TIME yesterday ] ]
weather	What's the weather in Tampa next weekend?	[IN:GET_WEATHER What 's the weather in [SL:LOCATION Tampa ] [SL:DATE_TIME next weekend ] ? ]
weather	what is the weather today?	[IN:GET_WEATHER what is the weather [SL:DATE_TIME today ] ? ]
weather	Does the weather forecast show it's going to be cold today?	[IN:GET_WEATHER Does the weather forecast show it 's going to be [SL:WEATHER_ATTRIBUTE cold ] [SL:DATE_TIME today ] ? ]
weather	How hot is it going to be today?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it going to be [SL:DATE_TIME today ] ? ]
weather	What's the weather like tomorrow?	[IN:GET_WEATHER What 's the weather like [SL:DATE_TIME tomorrow ] ? ]
weather	what will be the temperature tomorrow at 6 am	[IN:GET_WEATHER what will be the temperature [SL:DATE_TIME tomorrow at 6 am ] ]
weather	How hot is it next week dublin in degrees C	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it [SL:DATE_TIME next week ] [SL:LOCATION dublin ] in degrees [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	Is there really a chance for snow?	[IN:GET_WEATHER Is there really a chance for [SL:WEATHER_ATTRIBUTE snow ] ? ]
weather	Is it going to rain?	[IN:GET_WEATHER Is it going to [SL:WEATHER_ATTRIBUTE rain ] ? ]
weather	Temperature next week out there Celcius	[IN:GET_WEATHER Temperature [SL:DATE_TIME next week ] [SL:LOCATION out there ] [SL:WEATHER_TEMPERATURE_UNIT Celcius ] ]
weather	Are we still under drought conditions?	[IN:GET_WEATHER Are we still under [SL:WEATHER_ATTRIBUTE drought ] conditions ? ]
weather	do I need a jacket	[IN:GET_WEATHER do I need a [SL:WEATHER_ATTRIBUTE jacket ] ]
weather	How's the weather going to be at 11am?	[IN:GET_WEATHER How 's the weather going to be [SL:DATE_TIME at 11 am ] ? ]
weather	how hot can it be today	[IN:GET_WEATHER how [SL:WEATHER_ATTRIBUTE hot ] can it be [SL:DATE_TIME today ] ]
weather	Will it rain today at 4:30pm?	[IN:GET_WEATHER Will it [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today at 4 : 30 pm ] ? ]
weather	Is it warm in Paris right now?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE warm ] in [SL:LOCATION Paris ] right now ? ]
weather	What time is the sun supposed to rise today	[IN:GET_SUNRISE What time is the sun supposed to rise [SL:DATE_TIME today ] ]
weather	What is the weather going to be like this week at Miami beach?	[IN:GET_WEATHER What is the weather going to be like [SL:DATE_TIME this week ] at [SL:LOCATION Miami beach ] ? ]
weather	Is there any chance of a blizzard in Chicago tomorrow?	[IN:GET_WEATHER Is there any chance of a [SL:WEATHER_ATTRIBUTE blizzard ] in [SL:LOCATION Chicago ] [SL:DATE_TIME tomorrow ] ? ]
weather	when will it rain today	[IN:GET_WEATHER when will it [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ]
weather	Do I need an umbrella?	[IN:GET_WEATHER Do I need an [SL:WEATHER_ATTRIBUTE umbrella ] ? ]
weather	Will it be above 58 in Celcius for San Francisco tonight	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE above ] [SL:WEATHER_ATTRIBUTE 58 ] in [SL:WEATHER_TEMPERATURE_UNIT Celcius ] for [SL:LOCATION San Francisco ] [SL:DATE_TIME tonight ] ]
weather	Will we have more than a inch of rain today?	[IN:GET_WEATHER Will we have more than a inch of [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ? ]
weather	what is the high for monday next week?	[IN:GET_WEATHER what is the high [SL:DATE_TIME for monday next week ] ? ]
weather	is it storming?	[IN:GET_WEATHER is it [SL:WEATHER_ATTRIBUTE storming ] ? ]
weather	Is it below 26 in degree C menlo park tomorrow morning	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 26 ] in degree [SL:WEATHER_TEMPERATURE_UNIT C ] [SL:LOCATION menlo park ] [SL:DATE_TIME tomorrow morning ] ]
weather	Do I need my rain jacket this morning?	[IN:GET_WEATHER Do I need my [SL:WEATHER_ATTRIBUTE rain jacket ] [SL:DATE_TIME this morning ] ? ]
weather	what time does the sun set in Cape Cod	[IN:GET_SUNSET what time does the sun set in [SL:LOCATION Cape Cod ] ]
weather	Is it going to be above 4 degree C inside this weekend	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE above ] [SL:WEATHER_ATTRIBUTE 4 ] degree [SL:WEATHER_TEMPERATURE_UNIT C ] [SL:LOCATION inside ] [SL:DATE_TIME this weekend ] ]
weather	What are the conditions like for skiing at Sugar Mountain resort	[IN:UNSUPPORTED_WEATHER What are the conditions like for skiing at Sugar Mountain resort ]
weather	Is North and South Vietnam the same temperature today?	[IN:GET_WEATHER Is [SL:LOCATION North ] and [SL:LOCATION South Vietnam ] the same temperature [SL:DATE_TIME today ] ? ]
weather	How will the weather be in Rotherham today?	[IN:GET_WEATHER How will the weather be in [SL:LOCATION Rotherham ] [SL:DATE_TIME today ] ? ]
weather	will the weather permit to travel to Texas next weekend	[IN:GET_WEATHER will the weather permit to travel to [SL:LOCATION Texas ] [SL:DATE_TIME next weekend ] ]
weather	will it be hot in birmingham this weekend	[IN:GET_WEATHER will it be [SL:WEATHER_ATTRIBUTE hot ] in [SL:LOCATION birmingham ] [SL:DATE_TIME this weekend ] ]
weather	Is it hotter today in Los Angeles or San Diego?	[IN:UNSUPPORTED_WEATHER Is it [SL:WEATHER_ATTRIBUTE hotter ] [SL:DATE_TIME today ] in [SL:LOCATION Los Angeles ] or [SL:LOCATION San Diego ] ? ]
weather	How is the weather in Banat	[IN:GET_WEATHER How is the weather in [SL:LOCATION Banat ] ]
weather	whats the outside temperature right now in colorado springs	[IN:GET_WEATHER whats the outside temperature right now in [SL:LOCATION colorado springs ] ]
weather	How warm is it now in Fahrenheit?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it now in [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ? ]
weather	Tell me the weather for Miami	[IN:GET_WEATHER Tell me the weather for [SL:LOCATION Miami ] ]
weather	Temperature near Dublin this weekend Fahrenheit	[IN:GET_WEATHER Temperature near [SL:LOCATION Dublin ] [SL:DATE_TIME this weekend ] [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ]
weather	Tell me the weather forecast for North East Scotland.	[IN:GET_WEATHER Tell me the weather forecast for [SL:LOCATION North East Scotland ] . ]
weather	What is the forecast for Tampa?	[IN:GET_WEATHER What is the forecast for [SL:LOCATION Tampa ] ? ]
weather	How warm is in Spain tonight?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is in [SL:LOCATION Spain ] [SL:DATE_TIME tonight ] ? ]
weather	How is the weather in Croatia	[IN:GET_WEATHER How is the weather in [SL:LOCATION Croatia ] ]
weather	How hot is it paris tomorrow morning in degrees F	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it [SL:LOCATION paris ] [SL:DATE_TIME tomorrow morning ] in degrees [SL:WEATHER_TEMPERATURE_UNIT F ] ]
weather	Broadcast the weather details in Canada	[IN:GET_WEATHER Broadcast the weather details in [SL:LOCATION Canada ] ]
weather	when will the hurricane hit Texas	[IN:GET_WEATHER when will the [SL:WEATHER_ATTRIBUTE hurricane ] hit [SL:LOCATION Texas ] ]
weather	What's the weather like in Thailand?	[IN:GET_WEATHER What 's the weather like in [SL:LOCATION Thailand ] ? ]
weather	Temperature around Tokyo tomorrow morning Celsius	[IN:GET_WEATHER Temperature around [SL:LOCATION Tokyo ] [SL:DATE_TIME tomorrow morning ] [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	What time is the sunset today?	[IN:GET_SUNSET What time is the sunset [SL:DATE_TIME today ] ? ]
weather	Have there been any earthquakes in California recently	[IN:GET_WEATHER Have there been any [SL:WEATHER_ATTRIBUTE earthquakes ] in [SL:LOCATION California ] [SL:DATE_TIME recently ] ]
weather	Tell me the weather forecast for Spain	[IN:GET_WEATHER Tell me the weather forecast for [SL:LOCATION Spain ] ]
weather	How warm is it boston today in degree f	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it [SL:LOCATION boston ] [SL:DATE_TIME today ] in degree [SL:WEATHER_TEMPERATURE_UNIT f ] ]
weather	Hows the weather in york tomorrow afternoon?	[IN:GET_WEATHER Hows the weather in [SL:LOCATION york ] [SL:DATE_TIME tomorrow afternoon ] ? ]
weather	How cold is it around Seattle tonight in degree C	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE cold ] is it around [SL:LOCATION Seattle ] [SL:DATE_TIME tonight ] in degree [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	What time is sundown?	[IN:GET_SUNSET What time is sundown ? ]
weather	Weather by Celsius	[IN:GET_WEATHER Weather by [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	can i go for a run this morning	[IN:UNSUPPORTED_WEATHER can i go for a run [SL:DATE_TIME this morning ] ]
weather	What is the dew point?	[IN:UNSUPPORTED_WEATHER What is the [SL:WEATHER_ATTRIBUTE dew point ] ? ]
weather	What is the temperature in Celsius?	[IN:GET_WEATHER What is the temperature in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ? ]
weather	Is it going to be around 55 degrees Celsius sao paulo tomorrow morning	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE around ] [SL:WEATHER_ATTRIBUTE 55 ] degrees [SL:WEATHER_TEMPERATURE_UNIT Celsius ] [SL:LOCATION sao paulo ] [SL:DATE_TIME tomorrow morning ] ]
weather	when's sunrise	[IN:GET_SUNRISE when 's sunrise ]
weather	What time does the sun rise today	[IN:GET_SUNRISE What time does the sun rise [SL:DATE_TIME today ] ]
weather	How warm is it at Sao Paulo degrees Celsius	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it at [SL:LOCATION Sao Paulo ] degrees [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	How many tropical storms turn into hurricanes	[IN:UNSUPPORTED_WEATHER How many tropical [SL:WEATHER_ATTRIBUTE storms ] turn into hurricanes ]
weather	Can I go skiing tomorrow?	[IN:UNSUPPORTED_WEATHER Can I go skiing tomorrow ? ]
weather	When does hurricane season start	[IN:UNSUPPORTED_WEATHER When does [SL:WEATHER_ATTRIBUTE hurricane ] season start ]
weather	How warm is it tomorrow morning in degree fahrenheit	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it [SL:DATE_TIME tomorrow morning ] in degree [SL:WEATHER_TEMPERATURE_UNIT fahrenheit ] ]
weather	What's the weather in Celsius degree?	[IN:GET_WEATHER What 's the weather in [SL:WEATHER_TEMPERATURE_UNIT Celsius degree ] ? ]
weather	how many tornadoes have touched down this season	[IN:UNSUPPORTED_WEATHER how many tornadoes have touched down this season ]
weather	what time is the sunset tonight	[IN:GET_SUNSET what time is the sunset [SL:DATE_TIME tonight ] ]
weather	How many hours of sun will we get today?	[IN:UNSUPPORTED_WEATHER How many hours of sun will we get today ? ]
weather	Can you guess the climate for next week here?	[IN:GET_WEATHER Can you guess the climate [SL:DATE_TIME for next week ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ? ]
weather	Did it snow in New York in February of last year	[IN:UNSUPPORTED_WEATHER Did it [SL:WEATHER_ATTRIBUTE snow ] in New York [SL:DATE_TIME in February ] of [SL:DATE_TIME last year ] ]
weather	when does it start getting dark out	[IN:GET_SUNSET when does it start getting dark out ]
weather	Temperature near New York tomorrow F	[IN:GET_WEATHER Temperature near [SL:LOCATION New York ] [SL:DATE_TIME tomorrow ] [SL:WEATHER_TEMPERATURE_UNIT F ] ]
weather	How warm is it tonight for Beijing in degrees C	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it [SL:DATE_TIME tonight ] for [SL:LOCATION Beijing ] in degrees [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	what is the best day for me to go to the beach this week	[IN:UNSUPPORTED_WEATHER what is the best day for me to go to the [SL:LOCATION beach ] [SL:DATE_TIME this week ] ]
weather	when will it be sunset	[IN:GET_SUNSET when will it be sunset ]
weather	what is the record high temp for my area	[IN:UNSUPPORTED_WEATHER what is the record high temp for [SL:LOCATION my area ] ]
weather	How cold is it for London tomorrow degrees Fahrenheit	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE cold ] is it for [SL:LOCATION London ] [SL:DATE_TIME tomorrow ] degrees [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ]
weather	What's the low temp tonight in Celsius	[IN:GET_WEATHER What 's the [SL:WEATHER_ATTRIBUTE low temp ] [SL:DATE_TIME tonight ] in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	When will the first snow fall	[IN:UNSUPPORTED_WEATHER When will the first [SL:WEATHER_ATTRIBUTE snow ] fall ]
weather	When was the last earthquake in my area	[IN:UNSUPPORTED_WEATHER When was the last earthquake in [SL:LOCATION my area ] ]
weather	How hot is it this weekend in Manila in degree F	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it [SL:DATE_TIME this weekend ] in [SL:LOCATION Manila ] in degree [SL:WEATHER_TEMPERATURE_UNIT F ] ]
weather	what is the protocol for stormy weather in schools	[IN:UNSUPPORTED_WEATHER what is the protocol for [SL:WEATHER_ATTRIBUTE stormy ] weather in [SL:LOCATION schools ] ]
weather	How hot is it tomorrow here in degree Celcius	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it [SL:DATE_TIME tomorrow ] [SL:LOCATION here ] in degree [SL:WEATHER_TEMPERATURE_UNIT Celcius ] ]
weather	do you think ill be able to play outside this afternoon	[IN:UNSUPPORTED_WEATHER do you think ill be able to play outside this afternoon ]
weather	What exactly is high pressure? What about low pressure	[IN:UNSUPPORTED_WEATHER What exactly is high pressure ? What about low pressure ]
weather	Will there be a high pollen count today?	[IN:UNSUPPORTED_WEATHER Will there be a [SL:WEATHER_ATTRIBUTE high ] [SL:WEATHER_ATTRIBUTE pollen count ] [SL:DATE_TIME today ] ? ]
weather	Is the temperature expected to exceed 35 degrees Celsius?	[IN:GET_WEATHER Is the temperature expected to exceed [SL:WEATHER_ATTRIBUTE 35 degrees ] [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ? ]
weather	What is the maximum temperature today in celcius?	[IN:GET_WEATHER What is the maximum temperature [SL:DATE_TIME today ] in [SL:WEATHER_TEMPERATURE_UNIT celcius ] ? ]
weather	Temperature today Fahrenheit	[IN:GET_WEATHER Temperature [SL:DATE_TIME today ] [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ]
weather	Is it going to be below 40 degrees celsius in Houston tonight	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 40 ] degrees [SL:WEATHER_TEMPERATURE_UNIT celsius ] in [SL:LOCATION Houston ] [SL:DATE_TIME tonight ] ]
